boot_patch.sh的MD5,注释,需要检查是否存在的文件,支持RECOVERYMODE,当存在recovery_dtbo文件时自动设为RECOVERYMODE,支持TWOSTAGEINIT,支持PATCHVBMETAFLAG,支持设置PREINITDEVICE,支持LEGACYSAR,支持修补VENDORBOOT,检查ramdisk状态-是否允许无ramdisk情况,针对AonlySAR的ramdisk的特殊处理,支持索尼init.real,需要时从config.orig读取部分配置,在config中加入PATCHVBMETAFLAG,在config中加入RANDOMSEED,删除ramdisk中的init.zygote*.rc,修补ramdisk方案,在修补ramdisk方案2中是否启用SKIP64标志控制,在修补ramdisk方案2中是否启用SKIP32标志控制,压缩ramdisk,编辑header设置selinux为permissive,修补dtb的前提条件,支持修补的dtb文件,测试dtb,修补kernel-修补vivo do_mount_check,修补kernel-移除三星defex-A8_variant,修补kernel-移除三星defex-N9_variant,修补kernel-移除三星defex,修补kernel-禁用三星PROCA,若kernel未修改则删除,
[patchShMd5],[comment],[RequiredFiles],[RecoveryModeSupport],[AutoSetRecoveryModeWhenRecoveryDtboFound],[TwoStageInitSupport],[SupportPatchVbmetaFlag],[SupportPreInitDevice],[SupportLegacySarFlag],[SupportPatchVendorBoot],[CheckRamdiskStatus_AllowMissingRamdisk],[AonlySARRamdiskSpecialHandling],[SupportSonyInitReal],[ReadFromConfigOrig],[AddPatchVbmetaFlagToConfig],[AddRandomSeedToConfig],[RmInitZygoteRcInRamdisk],[RamdiskPatchOption],[EnableSkip64FlagForOption2],[EnableSkip32FlagForOption2],[CompressRamdisk],[EditHeaderToSetSELinuxPermissive],[DtbPatchingCondition],[SupportedDtbFiles],[TestDtb],[PatchKernel_PatchVivoDoMountCheck],[PatchKernel_RemoveSamsungDefexA8Variant],[PatchKernel_RemoveSamsungDefexN9Variant],[PatchKernel_RemoveSamsungDefex],[PatchKernel_DisableSamsungPROCA],[RmKernelIfUnpatched],
[e6040a2cac1af04dc0b41560dd0a8bc8],17000-17200,magiskinit;magiskboot,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,false,false,false,false,KEEPVERITY=false,dtb;extra,false,false,true,true,false,false,false,
[7aacf5e27d35d6675a35969a74970172];[11dc7caa2e7e734e11cc92e226b18bb2],17300-18100,magiskinit;magiskboot,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,false,false,false,false,KEEPVERITY=false,dtb;extra,false,false,false,false,true,false,false,
[2816b613afbca2288b753cad592299cf],19000,magiskinit;magiskboot,false,false,false,false,false,false,false,true,true,false,false,false,false,false,1,false,false,true,false,KEEPVERITY=false,dtb;kernel_dtb;extra,false,false,false,false,true,false,false,
[05455b21ce3ea71c7d7b5c041023d392];[8595503b132d7154385a043b66e65d5d],19100-19400,magiskinit;magiskboot,true,true,false,false,false,false,false,true,true,false,false,false,false,false,1,false,false,true,false,KEEPVERITY=false,dtb;kernel_dtb;extra;recovery_dtbo,false,false,false,false,true,false,false,
[cafa4ed2bfe5e45c85864a9ccf52502f];[232aaecb0fae34baa5a13211fccde93c];[69ebab4d9513484988a48a38560c6032],20000-20400,magiskinit;magiskboot,true,true,true,false,false,false,false,true,false,false,false,false,false,false,1,false,false,true,false,none,dtb;kernel_dtb;extra;recovery_dtbo,false,false,false,false,true,false,false,
[4f7a97a55135a8b684d3c99fac68f0e0],phh-20201（20.3-15bd2da8）,magiskinit;magiskboot,true,true,true,false,false,false,false,true,false,false,false,false,false,true,1,false,false,true,false,none,dtb;kernel_dtb;extra;recovery_dtbo,false,false,false,false,true,false,false,
[c0369850e7f9350c3ccb548808f513b5];[ac3d1448b7481d7e70d2558d4c733fee];[b8256416216461c247c2b82d60e8dca0],21000-21200,magiskinit;magiskboot,true,true,false,false,false,false,false,true,false,false,false,false,false,false,1,false,false,true,false,none,dtb;kernel_dtb;extra;recovery_dtbo,false,false,false,false,true,false,false,
[c2e189a0a37d789dd233d19ad9236bdc],21300-21400,magiskinit;magiskboot,true,true,false,false,false,false,false,true,false,false,false,false,false,false,1,false,false,false,false,none,dtb;kernel_dtb;extra,false,false,false,false,true,false,false,
[49452bcb3ea3362392ab05b7fe7ec128];[55285c3ad04cdf72e6e2be9d7ba4a333],22000-23000,magiskinit;magiskboot;magisk{CpuBit}.xz,true,true,false,false,false,false,false,true,false,false,false,false,false,false,2,true,false,false,false,none,dtb;kernel_dtb;extra,false,false,false,false,true,false,false,
